西堤厚牛排	西餐	147	5	11326	9.1	9.1	9.2	淞沪路151号2楼	2002/2/25
天香面馆	小吃快餐	14	3.5	41	7.2	6.5	7	吉浦路500号	2002/2/26
苏式面馆	小吃快餐	15	3.5	10	6.9	6.8	6.8	政通路285弄2号	2002/2/27
悸动烧仙草奶茶店	面包甜点	10	4.5	53	8.9	8.8	8.8	四平路2571号1楼	2002/2/28
锅够香麻辣香锅	川菜	51	3.5	183	7.5	7.4	7.6	政通路132号	2002/3/1
避风塘	粤菜	82	4.5	2912	8.9	8.9	8.6	淞沪路8号百联又一城6楼24号公共铺	2002/3/2
优之良品	小吃快餐	46	3.5	20	6.9	6.4	6.3	淞沪路8号百联又一城B1楼53号商铺	2002/3/3
担担面成都小吃	小吃快餐	15	4.5	151	8.6	8.3	8.7	国权北路97号	2002/3/4
卧龙岗酒店	其他	50	3.5	154	7.2	6.9	6.8	国和路491号	2002/3/5
东北炒菜屯	东北菜	34	3	163	6.3	5.7	5.9	国济路30号	2002/3/6
塔顶泰国时尚餐厅	东南亚菜	141	4.5	3395	8.6	8.7	8.4	大学路109号创智坊内	2002/3/7
苏启荟大饭店	本帮江浙菜	103	4	278	7.8	8	7.8	邯郸路399号财富大酒店内	2002/3/8
吉田料理屋	日本菜	52	4.5	155	8.2	8.9	8.8	国定路506号105	2002/3/9
LaBamba	西餐	61	5	651	8.9	9.1	9.1	国定路333号三号湾广场2楼	2002/3/10
吉祥馄饨	小吃快餐	15	3.5	14	7.1	7.3	7.1	邯郸路66号	2002/3/11
农父烤薯	烧烤	10	3.5	22	7.2	7.2	7.1	邯郸路575号	2002/3/12
旬彩	面包甜点	15	3	109	6.8	6.6	6.8	淞沪路8号五角场百联又一城B1楼新世纪食品城11号铺	2002/3/13
THEMAMA	西餐	45	5	400	9.1	9	8.9	武东路80号-9室	2002/3/14
鲜粥道	小吃快餐	18	3.5	22	7.2	7	7.1	吉浦路524号	2002/3/15
LaPatisseriePure	面包甜点	154	4.5	13	8.3	8.2	8.4	国顺东路800号800艺术园西楼418室	2002/3/16
!WANTPOWER	西餐	58	4.5	481	8.7	9.1	9	淞沪路290号创智天地广场10号楼B1-03单元	2002/3/17
回乡缘	新疆菜	72	5	284	9.1	9.2	9.2	国定路319号三号湾广场二楼F-231	2002/3/18
70后饭吧	本帮江浙菜	68	4.5	2974	8.5	9	8.6	政通路189号五角场万达特力时尚汇5楼	2002/3/19
大秦富贵	西北菜	37	3	320	6.6	6.3	5.8	松花江路2628号	2002/3/20
卡萝铃番长的烧肉	韩国料理	86	3.5	24	7.4	7.6	7.6	学府街68号	2002/3/21
